出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
"1120705","111","1240","茂生農經","835","689","679","577","10.00%","0人","0.00%"
"1120705","111","1259","安心","337","278","603","548","0.00%","0人","0.00%"
"1120705","111","1264","德麥","1077","933","831","704","11.11%","0人","0.00%"
"1120705","111","1268","漢來美食","588","508","550","462","34.36%","20人","1.21%"
"1120705","111","1336","台翰","1180","1044","760","591","16.67%","12人","0.85%"
"1120705","111","1565","精華","771","662","681","633","50.49%","18人","0.60%"
"1120705","111","1569","濱川","1380","1072","692","638","0.00%","0人","0.00%"
"1120705","111","1570","力肯","705","578","542","423","25.00%","0人","0.00%"
"1120705","111","1580","新麥","1258","1096","945","913","31.00%","3人","4.00%"
"1120705","111","1584","精剛","1011","826","688","634","29.00%","6人","4.05%"
"1120705","111","1586","和勤","646","525","535","476","23.00%","4人","0.12%"
"1120705","111","1591","駿吉-KY","","","","","40.00%","0人","0.00%"
"1120705","111","1593","祺驊","845","719","620","475","23.08%","0人","0.00%"
"1120705","111","1595","川寶","1216","1050","696","597","17.00%","0人","0.00%"
"1120705","111","1599","宏佳騰","726","620","557","515","29.50%","0人","0.00%"
"1120705","111","1742","台蠟","807","686","517","497","44.40%","0人","0.00%"
"1120705","111","1777","生泰","1003","871","886","778","42.00%","1人","0.48%"
"1120705","111","1781","合世","950","786","724","695","20.00%","0人","0.00%"
"1120705","111","1784","訊聯","1027","867","817","693","50.00%","0人","0.00%"
"1120705","111","1785","光洋科","1077","868","807","652","30.10%","6人","0.55%"
"1120705","111","1788","杏昌","1373","1207","1055","933","21.00%","0人","0.00%"
"1120705","111","1796","金穎生技","720","605","645","517","5.17%","21人","7.66%"
"1120705","111","1799","易威","851","719","692","660","50.00%","0人","0.00%"
"1120705","111","1813","寶利徠","772","612","604","523","30.00%","0人","0.00%"
"1120705","111","1815","富喬","830","688","658","604","25.00%","10人","1.03%"
"1120705","111","2035","唐榮公司","1398","1156","1150","1299","7.00%","0人","0.00%"
"1120705","111","2061","風青","895","778","547","378","60.00%","0人","0.00%"
"1120705","111","2063","世鎧","791","669","662","597","0.00%","0人","0.00%"
"1120705","111","2064","晉椿","746","583","572","524","16.67%","5人","2.46%"
"1120705","111","2065","世豐","875","748","694","592","50.00%","2人","0.69%"
"1120705","111","2066","世德","700","585","526","492","15.38%","0人","0.00%"
"1120705","111","2067","嘉鋼","707","612","549","509","9.00%","0人","0.00%"
"1120705","111","2070","精湛","885","757","686","626","28.00%","1人","0.80%"
"1120705","111","2073","雄順","","","","","16.67%","0人","0.00%"
"1120705","111","2221","大甲","826","691","664","554","26.83%","1人","0.37%"
"1120705","111","2230","泰茂","647","565","476","453","20.00%","0人","0.00%"
"1120705","111","2235","謚源","655","557","510","461","20.00%","0人","0.00%"
"1120705","111","2596","綠意","1027","874","751","786","28.57%","0人","0.00%"
"1120705","111","2640","大車隊","859","722","656","510","30.80%","381人","1.05%"
"1120705","111","2641","正德","1901","1748","1368","895","23.08%","0人","0.00%"
"1120705","111","2643","捷迅","2384","2221","715","616","62.50%","0人","0.00%"
"1120705","111","2718","晶悅","1298","1140","884","720","22.00%","0人","0.00%"
"1120705","111","2719","燦星旅","664","504","424","370","60.00%","0人","0.00%"
"1120705","111","2724","富驛-KY","","","","","62.50%","0人","0.00%"
"1120705","111","2726","雅茗-KY","","","","","50.00%","0人","0.00%"
"1120705","111","2729","瓦城","431","356","603","547","40.07%","39人","1.21%"
"1120705","111","2732","六角","828","712","600","495","48.72%","12人","4.21%"
"1120705","111","2734","易飛網","658","533","512","452","52.94%","36人","30.52%"
"1120705","111","2736","富野","552","468","404","360","58.00%","0人","0.00%"
"1120705","111","2740","天蔥","524","419","448","449","37.00%","0人","0.00%"
"1120705","111","2743","山富","531","422","393","350","40.00%","0人","0.00%"
"1120705","111","2745","五福","476","367","372","354","64.59%","0人","0.00%"
"1120705","111","2752","豆府","418","349","543","494","45.00%","20人","1.01%"
"1120705","111","2754","亞洲藏壽司","374","318","648","457","64.21%","76人","2.60%"
"1120705","111","2755","揚秦","670","572","628","534","46.55%","2人","0.45%"
"1120705","111","2756","聯發國際","902","768","712","612","46.00%","0人","0.00%"
"1120705","111","2916","滿心","632","518","503","445","45.00%","0人","0.00%"
"1120705","111","2924","宏太-KY","","","","","75.00%","16人","0.00%"
"1120705","111","2926","誠品生活","816","683","719","570","41.38%","17人","1.38%"
"1120705","111","2937","集雅社","823","692","722","606","19.23%","0人","0.00%"
"1120705","111","2947","振宇五金","559","444","462","422","25.00%","0人","0.00%"
"1120705","111","3064","泰偉","794","677","695","636","50.00%","0人","0.00%"
"1120705","111","3066","李洲","865","712","545","485","27.00%","0人","0.00%"
"1120705","111","3067","全域","1046","872","615","606","0.00%","0人","0.00%"
"1120705","111","3071","協禧","916","769","765","667","16.60%","0人","0.00%"
"1120705","111","3073","天方能源","842","730","697","695","40.00%","0人","0.00%"
"1120705","111","3078","僑威","1594","1407","991","792","20.00%","1人","0.69%"
"1120705","111","3081","聯亞","1342","1177","1008","842","8.70%","0人","0.00%"
"1120705","111","3083","網龍","950","829","769","623","21.43%","0人","0.00%"
"1120705","111","3085","新零售","734","595","532","504","33.33%","0人","0.00%"
"1120705","111","3086","華義","904","745","541","493","33.00%","0人","0.00%"
"1120705","111","3088","艾訊","1335","1148","1096","983","19.00%","1人","0.16%"
"1120705","111","3089","億杰","1158","1009","699","593","7.69%","0人","0.00%"
"1120705","111","3093","港建*","1906","1719","1171","1090","27.00%","0人","0.00%"
"1120705","111","3095","及成","805","691","645","537","27.00%","0人","0.00%"
"1120705","111","3105","穩懋","950","795","831","683","16.96%","1人","0.03%"
"1120705","111","3114","好德","1489","1285","1138","924","18.00%","0人","0.00%"
"1120705","111","3115","富榮綱","1112","920","757","516","20.00%","0人","0.00%"
"1120705","111","3118","進階","1005","853","838","705","32.50%","0人","0.00%"
"1120705","111","3122","笙泉","1394","1206","1324","1224","19.00%","0人","0.00%"
"1120705","111","3128","昇銳","780","680","642","556","30.00%","0人","0.00%"
"1120705","111","3131","弘塑","2313","2129","1707","1660","12.50%","0人","0.00%"
"1120705","111","3141","晶宏","2331","1898","1657","1489","19.61%","0人","0.00%"
"1120705","111","3147","大綜","1085","921","873","633","22.73%","0人","0.00%"
"1120705","111","3152","璟德","843","701","633","528","29.00%","0人","0.00%"
"1120705","111","3162","精確","1593","1399","542","448","7.40%","0人","0.00%"
"1120705","111","3163","波若威","1506","1328","954","761","22.58%","0人","0.00%"
"1120705","111","3169","亞信","2856","2630","2451","1862","14.29%","0人","0.00%"
"1120705","111","3171","新洲","947","814","882","483","50.00%","0人","0.00%"
"1120705","111","3176","基亞","1510","1301","910","796","8.89%","0人","0.00%"
"1120705","111","3178","公準","712","596","605","529","29.00%","12人","1.49%"
"1120705","111","3188","鑫龍騰","1642","1457","875","707","28.57%","0人","0.00%"
"1120705","111","3191","和進","1339","1157","513","581","0.00%","0人","0.00%"
"1120705","111","3202","樺晟","881","739","629","552","31.58%","0人","0.00%"
"1120705","111","3205","佰研","796","653","601","546","52.94%","3人","4.62%"
"1120705","111","3206","志豐","2645","2399","1048","1008","56.25%","0人","0.00%"
"1120705","111","3207","耀勝","1615","1447","949","832","20.00%","0人","0.00%"
"1120705","111","3211","順達","1427","1217","1160","1110","12.50%","2人","0.80%"
"1120705","111","3213","茂訊","935","810","737","649","3.29%","1人","0.34%"
"1120705","111","3217","優群","1603","1441","1077","904","37.50%","1人","0.83%"
"1120705","111","3218","大學光","1155","1009","1073","864","49.32%","3人","1.05%"
"1120705","111","3219","倚強科","1729","1531","1499","1011","0.00%","0人","0.00%"
"1120705","111","3221","台嘉碩","854","724","657","547","20.50%","0人","0.00%"
"1120705","111","3224","三顧","889","744","771","643","12.26%","0人","0.00%"
"1120705","111","3226","至寶電","595","475","496","437","33.33%","0人","0.00%"
"1120705","111","3227","原相","3230","2954","2522","2321","6.60%","0人","0.00%"
"1120705","111","3228","金麗科","1865","1657","1742","1344","22.22%","0人","0.00%"
"1120705","111","3230","錦明","927","782","667","594","63.30%","0人","0.00%"
"1120705","111","3232","昱捷","1236","1115","748","641","12.50%","0人","0.00%"
"1120705","111","3234","光環","941","785","756","654","28.00%","0人","0.00%"
"1120705","111","3236","千如","976","798","767","587","42.70%","0人","0.00%"
"1120705","111","3252","海灣","683","588","400","420","50.00%","0人","0.00%"
"1120705","111","3259","鑫創","1322","1130","1064","997","7.00%","0人","0.00%"
"1120705","111","3260","威剛","1647","1427","1298","1066","37.82%","0人","0.00%"
"1120705","111","3264","欣銓","1447","1268","1203","944","1.80%","9人","0.32%"
"1120705","111","3265","台星科","1135","984","972","768","36.60%","0人","0.00%"
"1120705","111","3268","海德威","994","855","740","658","27.27%","0人","0.00%"
"1120705","111","3272","東碩","973","825","752","607","22.95%","0人","0.00%"
"1120705","111","3276","宇環","2015","1830","1026","1029","66.67%","0人","0.00%"
"1120705","111","3284","太普高","712","583","547","513","30.77%","0人","0.00%"
"1120705","111","3285","微端","961","808","625","544","10.00%","0人","0.00%"
"1120705","111","3287","廣寰科","1127","972","722","499","28.57%","0人","0.00%"
"1120705","111","3288","點晶","1338","1167","841","439","25.00%","0人","0.00%"
"1120705","111","3289","宜特","1176","976","977","871","40.11%","969人","0.00%"
"1120705","111","3290","東浦","935","817","617","480","14.00%","0人","0.00%"
"1120705","111","3293","鈊象","3104","2839","2544","2027","16.67%","1人","0.09%"
"1120705","111","3294","英濟","998","838","779","626","12.70%","0人","0.00%"
"1120705","111","3297","杭特","726","604","588","489","28.57%","0人","0.00%"
"1120705","111","3303","岱稜","890","760","739","645","14.00%","6人","1.19%"
"1120705","111","3306","鼎天","1265","1080","987","878","5.56%","0人","0.00%"
"1120705","111","3310","佳穎","801","669","627","525","28.57%","0人","0.00%"
"1120705","111","3313","斐成","1550","1413","868","629","0.00%","0人","0.00%"
"1120705","111","3317","尼克森","2031","1822","1515","1215","27.59%","0人","0.00%"
"1120705","111","3322","建舜電","1461","1252","917","746","41.03%","0人","0.00%"
"1120705","111","3323","加百裕","968","811","738","526","9.80%","0人","0.00%"
"1120705","111","3324","雙鴻","1408","1239","1220","1071","16.00%","2人","0.04%"
"1120705","111","3325","旭品","845","700","549","516","14.82%","0人","0.00%"
"1120705","111","3332","幸康","1001","854","805","703","29.27%","0人","0.00%"
"1120705","111","3339","泰谷","831","681","497","423","0.00%","1人","0.74%"
"1120705","111","3349","寶德","1088","893","875","792","33.33%","1人","1.67%"
"1120705","111","3354","律勝","695","574","581","486","33.33%","1人","1.43%"
"1120705","111","3357","臺慶科","1023","876","798","663","16.13%","7人","1.35%"
"1120705","111","3360","尚立","1232","1014","961","955","20.00%","1人","1.45%"
